지정상품(국문),NICE분류,유사군코드,지정상품(영문),
가정 식물용 비료 판매알선업,35,S2001,Sales arranging of fertilizers for household plants,
고토비료 판매알선업,35,S2001,Sales arranging of dolomitic fertilizers,
고토석회분말비료 판매알선업,35,S2001,Sales arranging of dolomitic limestone powder (fertilizers),
골분비료 판매알선업,35,S2001,Sales arranging of bone meal [fertilizer],
과인산석회비료 판매알선업,35,S2001,Sales arranging of calcium superphosphate fertilizer,
과인산염비료 판매알선업,35,S2001,Sales arranging of superphosphates [fertilisers],
과인산염비료 판매알선업,35,S2001,Sales arranging of superphosphates [fertilizers],
광물질 재료로 만든 식물생육용 인공토양 판매알선업,35,S2001,Sales arranging of artificial soil for plant cultivation made from mineral materials,
광물퇴비 판매알선업,35,S2001,Sales arranging of mineral manure,
구리비료 판매알선업,35,S2001,Sales arranging of copper (fertilizers),
구비(廐肥) 판매알선업,35,S2001,Sales arranging of animal manure,
구아노비료 판매알선업,35,S2001,Sales arranging of guano,
규산석회비료 판매알선업,35,S2001,Sales arranging of calcium silicate fertilizer,
규산질비료 판매알선업,35,S2001,Sales arranging of silicates (fertilizers),
규산칼슘 비료 판매알선업,35,S2001,Sales arranging of calcium silicate fertilizers,
규회석비료 판매알선업,35,S2001,Sales arranging of wollastonite (fertilizers),
깻묵비료 판매알선업,35,S2001,Sales arranging of oil cake (fertilizers),
농업용 무토양(無土壤)재배용 물질 판매알선업,35,S2001,Sales arranging of substrates for soil-free growing [agriculture],
두엄 판매알선업,35,S2001,Sales arranging of farmyard manure,
땅콩깻묵비료 판매알선업,35,S2001,Sales arranging of peanut oil cake (fertilizers),
망간비료 판매알선업,35,S2001,Sales arranging of manganese fertilizer,
맥주박비료 판매알선업,35,S2001,Sales arranging of brewers' grain [fertilizer],
맥주오니비료 판매알선업,35,S2001,Sales arranging of beer sludge (fertilizers),
메탄인산염비료 판매알선업,35,S2001,Sales arranging of methane phosphate (fertilizers),
면실깻묵비료 판매알선업,35,S2001,Sales arranging of cottonseed oil cake (fertilizers),
몰리브덴비료 판매알선업,35,S2001,Sales arranging of molybdenum (fertilizers),
